,ELEC-a,GASHeat-a,OIL-a,COAL-a,ENIT-a,NEINT-a,AGRI-a,CO2-a,ELEC-c,GASHeat-c,OIL-c,COAL-c,ENIT-c,NEINT-c,AGRI-c,CO2-c,Labor,Capital,Household,GoV,NRES,Ptaxin,Ptaxetc,Tarrif,YTAX,S-I,ROW
ELEC-a,0,0,0,0,0,0,0,0,41534.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GASHeat-a,0,0,0,0,0,0,0,0,0,30161.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OIL-a,0,0,0,0,0,0,0,0,0,0,103050.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAL-a,0,0,0,0,0,0,0,0,0,0,0,6912.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENIT-a,0,0,0,0,0,0,0,0,0,0,0,0,532006.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEINT-a,0,0,0,0,0,0,0,0,0,0,0,0,0,2387211.921,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRI-a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52969.023,0,0,0,0,0,0,0,0,0,0,0,0
CO2-a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELEC-c,556.757,64.474,815.588,72.901,7486.617,24304.219,272.211,0,0,0,0,0,0,0,0,0,0,0,7975.42,0,0,0,0,0,0,0,83.761
GASHeat-c,8575.153,20534.598,470.029,0.785,3160.66,8720.109,9.565,0,0,0,0,0,0,0,0,0,0,0,7870.849,0,0,0,0,0,0,455.704,18.034
OIL-c,2300.089,681.308,83242.31,67.988,52686.652,22582.386,1632.669,0,0,0,0,0,0,0,0,0,0,0,10533.374,0,0,0,0,0,0,2220.658,40993.88
COAL-c,8892.316,469.276,0,5046.834,8129.638,286.481,103.351,0,0,0,0,0,0,0,0,0,0,0,81.243,0,0,0,0,0,0,-909.442,23.69
ENIT-c,639.452,61.631,2806.869,355.885,239669.853,247991.754,1451.984,0,0,0,0,0,0,0,0,0,0,0,23337.582,0,0,0,0,0,0,2139.022,140680.272
NEINT-c,7651.798,1518.722,7589.852,808.42,93588.157,1034045.33,17100.042,0,0,0,0,0,0,0,0,0,0,0,527027.565,183108.515,0,0,0,0,0,370461.246,449400.398
AGRI-c,1.268,0.281,1.534,2.866,1430.396,41220.729,3685.653,0,0,0,0,0,0,0,0,0,0,0,14509.494,0,0,0,0,0,0,1949.315,776.428
CO2-c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labor,3438.079,925.373,1112.996,141.264,46078.634,480825.662,3828.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital,9153.961,3779.67,5012.656,441.533,65433.411,487873.225,23425.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Household,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536350.258,595119.743,0,39046,1075.434,0,0,0,0,0,0
GoV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140861.255,13654.088,0,83753,0,0
NRES,-47.827,-5.84,369.524,-1.204,6563.552,-2947.426,-2.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ptaxin,263.253,2110.82,1487.932,-26.574,6848.875,30835.624,486.808,0,0,0,0,0,0,0,0,0,0,0,46452.566,0,0,0,0,0,0,31724.564,20677.387
Ptaxetc,110.188,21.479,141.412,1.645,930.019,11473.828,975.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarrif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YTAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83753,0,0,0,0,0,0,0,0
S-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450050.342,16113.828,2853.031,0,0,0,0,0,-60976.134
ROW,0,0,0,0,0,0,0,0,97.461,19653.694,113890.612,15211.044,127127.84,305088.124,10608.941,0,0,0,0,0,0,0,0,0,0,0,0
