Anthra_D,Anthra_Im,Bit_C,Bit_S,Gasoline,Kerosene,Diesel,B-A,B-B,B-C,JA-1,JP-4,AVI-G,Propane,Butane,Naphta,Solvent,Asphalt,Lubricant,ParaWax,PetroCoke,OtherProd,LNG,TownGas,Hydro,Nuclear,Elect,Heat,Renewable
1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,0,1213,31771,0,0,5480
0,4236,13687,45507,13823,4558,37775,439,75,22189,14279,0,0,4590,5900,43501,603,4408,3327,17,166,4493,33568,0,0,0,0,0,0
0,0,0,0,13823,4549,37655,435,75,19068,14279,0,0,1436,2219,20357,598,4408,3271,17,166,4493,0,0,0,0,0,0,0
0,0,0,0,0,9,120,4,0,3121,0,0,0,3153,3680,23144,5,0,56,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-5111,-759,-18053,0,0,-3997,-9712,0,0,-12,0,-3400,-1,-2495,-2685,0,-33,-499,0,0,0,0,0,0,0
0,0,0,0,0,0,-483,-54,0,-5510,-938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,3,0,0,-70,14,160,1,0,67,28,0,0,18,19,186,-3,6,-62,0,0,-19,1144,0,0,0,0,0,0
1245,79,0,0,337,337,1233,39,6,1454,305,0,0,148,117,1252,13,108,198,1,5,38,3390,0,0,0,0,0,0
-987,-76,0,0,-407,-323,-1073,-39,-6,-1388,-277,0,0,-130,-98,-1066,-16,-101,-260,-1,-5,-58,-2246,0,0,0,0,0,0
19,125,827,2771,-263,-177,-363,-79,123,-2351,-4,0,0,-385,949,1002,-195,46,140,0,-45,-2808,-1303,0,0,0,0,0,0
1448,4364,14514,48278,8378,3636,19036,307,198,10398,3653,0,0,4211,6868,41290,404,1965,721,17,88,1167,33908,0,1213,31771,0,0,5480
-632,0,0,-44076,-1,-105,-20,0,0,-3587,0,0,0,-238,-1,0,0,0,0,0,0,-14,-33908,19459,-1213,-31771,33925,1551,-613
-632,0,0,-44076,-1,-98,-20,0,0,-3283,0,0,0,-1,0,0,0,0,0,0,0,-14,-12617,-159,-1213,-31771,37290,953,-613
0,0,0,0,0,-7,0,0,0,-304,0,0,0,0,0,0,0,0,0,0,0,0,-681,-855,0,0,0,683,0
0,0,0,0,0,0,-1,0,0,0,0,0,0,-237,-1,0,0,0,0,0,0,0,-20324,20298,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-286,176,0,0,-3365,-85,0
816,4364,14514,4201,8377,3531,19016,307,198,6811,3653,0,0,3973,6867,41290,404,1965,721,17,88,1152,0,19459,0,0,33925,1551,4867
4,4236,14514,4201,199,583,2773,107,129,3642,0,0,0,2050,1428,41290,376,1965,721,17,87,1026,0,5891,0,0,17006,0,3876
0,0,0,0,147,288,1636,41,56,71,0,0,0,1,0,0,0,0,0,0,0,5,0,4,0,0,786,0,0
0,0,0,0,0,9,41,6,4,14,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,116,0,0
0,0,14514,4201,39,249,442,38,54,3515,0,0,0,2025,1428,41290,375,0,721,17,87,1015,0,5886,0,0,16103,0,0
0,0,0,30,0,21,10,2,10,239,0,0,0,17,0,0,0,0,0,0,0,71,0,515,0,0,687,0,0
0,0,0,88,0,23,13,1,3,374,0,0,0,3,0,0,10,0,0,0,0,14,0,447,0,0,993,0,0
0,0,0,0,1,4,7,0,0,17,0,0,0,1,0,0,1,0,0,0,0,1,0,63,0,0,137,0,0
0,0,0,0,0,11,8,1,4,460,0,0,0,5,0,0,5,0,0,0,0,4,0,235,0,0,827,0,0
0,0,0,116,0,19,72,1,5,1085,0,0,0,1478,1293,41290,287,0,0,15,0,722,0,1077,0,0,3445,0,0
0,0,0,2767,0,6,91,2,10,576,0,0,0,31,0,0,0,0,0,0,85,32,0,442,0,0,966,0,0
0,0,14514,0,0,0,3,0,1,223,0,0,0,10,23,0,0,0,0,0,2,5,0,1239,0,0,3023,0,0
0,0,0,0,0,0,3,1,1,56,0,0,0,17,0,0,1,0,0,0,0,5,0,220,0,0,0,0,0
0,0,0,0,29,32,127,26,6,220,0,0,0,57,6,0,3,0,0,0,0,21,0,1154,0,0,5839,0,0
0,0,0,1200,6,132,105,5,14,211,0,0,0,407,105,0,55,0,0,0,0,31,0,496,0,0,187,0,0
0,0,0,0,0,1,4,0,0,54,0,0,0,0,0,0,11,0,721,2,0,110,0,0,0,0,0,0,0
0,0,0,0,13,36,655,22,14,42,0,0,0,21,0,0,0,1965,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,8105,7,14976,152,38,2740,3174,0,0,1,5331,0,1,0,0,0,0,3,0,960,0,0,187,0,254
0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0
0,0,0,0,8105,6,14349,4,0,17,0,0,0,0,5331,0,1,0,0,0,0,2,0,960,0,0,0,0,254
0,0,0,0,0,0,419,147,37,2717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,8,1,1,7,3174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812,128,0,0,6,2007,565,3,8,267,0,0,0,931,39,0,16,0,0,0,0,16,0,9267,0,0,4953,1388,129
0,0,0,0,20,832,139,39,20,143,0,0,0,968,69,0,10,0,0,0,1,85,0,3065,0,0,9640,120,33
0,0,0,0,46,102,562,6,3,19,479,0,0,23,0,0,1,0,0,0,0,21,0,277,0,0,2138,42,575
