year,Domestic,Total_Im,Crude_Im,Other_inputs_Im,Refinery_Prod,Stocks,Pet.Production,Imports,Exports ,Int.Bunk,Consume,Stokcs_a
1981 ,,182814 ,182814 ,,178322 ,10856 ,173793 ,13161 ,3084 ,2068 ,180053 ,10904 
1982 ,,178369 ,178369 ,,173044 ,10367 ,170595 ,19790 ,6904 ,1843 ,178893 ,10456 
1983 ,,192969 ,192969 ,,190643 ,8132 ,188667 ,21697 ,16421 ,1985 ,189308 ,9991 
1984 ,,199681 ,199681 ,,201937 ,,200997 ,24393 ,24053 ,6510 ,191049 ,
1985 ,,198313 ,198313 ,,201131 ,5696 ,197559 ,24095 ,26440 ,4556 ,189191 ,10611 
1986 ,,230063 ,230063 ,,209729 ,9737 ,206750 ,31543 ,27261 ,7652 ,200591 ,11567 
1987 ,,216163 ,216163 ,,210914 ,7610 ,208662 ,48336 ,32511 ,10574 ,210511 ,10134 
1988 ,,261079 ,261079 ,,256420 ,9427 ,252196 ,41947 ,31247 ,12973 ,250558 ,12718 
1989 ,,296411 ,296411 ,,296722 ,4988 ,292062 ,49270 ,34802 ,15817 ,287146 ,13511 
1990 ,,308368 ,308368 ,,307281 ,6923 ,304496 ,101248 ,27184 ,15115 ,356349 ,16551 
1991 ,,399303 ,399303 ,,412787 ,4644 ,408215 ,110041 ,69744 ,20714 ,424666 ,20233 
1992 ,,512082 ,509378 ,2704 ,510619 ,5402 ,504560 ,137011 ,91653 ,26099 ,514224 ,30829 
1993 ,,566233 ,560563 ,5670 ,843967 ,7428 ,539986 ,167759 ,103493 ,30539 ,564575 ,33934 
1994 ,,586913 ,573714 ,13199 ,560866 ,17323 ,568452 ,190790 ,93132 ,33304 ,621498 ,36352 
1995 ,,644020 ,624945 ,19075 ,631080 ,10376 ,643422 ,205428 ,122620 ,37092 ,677210 ,37636 
1996 ,,737722 ,721927 ,15795 ,720846 ,11296 ,724128 ,215124 ,158329 ,42080 ,721065 ,42480 
1997 ,,877676 ,873415 ,4261 ,871974 ,12979 ,897342 ,185811 ,231050 ,46130 ,793899 ,48785 
1998 ,,822564 ,819094 ,3470 ,825890 ,11313 ,864845 ,175895 ,296682 ,45991 ,670278 ,46427 
1999 ,,881320 ,874090 ,7230 ,872742 ,11147 ,897373 ,184490 ,297899 ,49048 ,719657 ,42785 
2000 ,,899809 ,893943 ,5866 ,890304 ,11691 ,911761 ,204301 ,306293 ,46468 ,742557 ,49685 
2001 ,,868237 ,859367 ,8870 ,860115 ,12645 ,892844 ,204781 ,295010 ,46330 ,743667 ,49356 
2002 ,,800488 ,790992 ,9496 ,786805 ,10177 ,858363 ,228557 ,239127 ,46466 ,762868 ,43256 
2003 ,,812494 ,804809 ,7685 ,782951 ,14339 ,826247 ,219897 ,209079 ,53139 ,762941 ,41983 
2004 ,,830674 ,825790 ,4884 ,826551 ,15202 ,886413 ,195110 ,235506 ,58387 ,752329 ,50569 
2005 ,407 ,851327 ,843203 ,8124 ,852439 ,15804 ,922897 ,179354 ,262647 ,55632 ,761080 ,42588 
2006 ,333 ,892296 ,888794 ,3502 ,878395 ,16990 ,949983 ,191560 ,289070 ,53849 ,765521 ,46801 
2007 ,236 ,873674 ,872541 ,1133 ,882117 ,18364 ,955898 ,209130 ,292072 ,50543 ,794946 ,44726 
2008 ,155 ,866659 ,864872 ,1787 ,865663 ,10723 ,938749 ,224614 ,333764 ,50610 ,760641 ,40034 
2009 ,321 ,837008 ,835082 ,1923 ,838475 ,7244 ,912654 ,268214 ,330912 ,45473 ,778480 ,37636 
