"","ELEC","GASHeat","OIL","COAL","ENIT","NEINT","Agri","Dint","HE","GE","HI","GI","ST","Gold","EX","Dfin","Dtotal","Qtotal","Qself","Imp","Resout","Stotal_b","PTAXd","PTAXim","Psub","Cmargin","Tmargin","Contotal","Stotal_p"
"ELEC",556757,64474,815588,72901,6707129,25163598,192320,33572767,7975420,0,0,0,0,0,83761,8059181,41631948,41534487,0,97461,0,41631948,0,0,0,0,0,0,41631948
"GASHeat",8575153,20534598,470029,785,2809546,9071007,9781,41470899,7870849,0,0,0,455704,0,18034,8344587,49815486,30161792,0,19653694,0,49815486,0,0,0,0,0,0,49815486
"OIL",2300089,681308,83242310,67988,53259488,22917258,724961,163193402,10533374,0,0,0,2220658,0,40993880,53747912,216941314,99383134,3248832,113890612,418736,216941314,0,0,0,0,0,0,216941314
"COAL",8892316,469276,0,5046834,8106134,313902,99434,22927896,81243,0,0,0,-909442,0,23690,-804509,22123387,795070,6117273,15211044,0,22123387,0,0,0,0,0,0,22123387
"ENIT",624116,61631,2780272,355966,213550209,235945239,1384345,454701778,26107294,0,451100,42962,2588529,1100,127640807,156831792,611533570,419913630,77421794,107679071,6519075,611533570,0,0,0,0,0,0,611533570
"NEINT",7667134,1518722,7616449,811139,93420901,1068902890,17597270,1197534505,515700472,183108515,295603916,61854563,10980565,862758,462651710,1530762499,2728297004,2393508849,9547526,322734596,2506033,2728297004,0,0,0,0,0,0,2728297004
"Agri",1268,281,1534,66,1439983,28825194,19117867,49386193,23066875,0,235749,13399,1914942,0,564581,25795546,75181739,62770501,0,12411238,0,75181739,0,0,0,0,0,0,75181739
"idinput1",28616833,23330290,94926182,6355679,379293390,1391139088,39125978,1962787440,591335527,183108515,296290765,61910924,17250956,863858,631976463,1782737008,3745524448,3048067463,96335425,591677716,9443844,3745524448,0,0,0,0,0,0,3745524448
"PTAXin",263253,2110820,1487932,-26574,6888679,30904724,377904,42006738,46452566,0,25935922,4639034,1082046,67562,0,78177130,120183868,99506481,0,20677387,0,120183868,0,0,0,0,0,0,120183868
"Resin",-47827,-5840,-49212,-1204,-1330473,-4079952,-871,-5515379,-1075434,0,-2351576,-501455,0,0,0,-3928465,-9443844,0,0,0,-9443844,-9443844,0,0,0,0,0,0,-9443844
"idinput2",28832259,25435270,96364902,6327901,384851596,1417963860,39503011,1999278799,636712659,183108515,319875111,66048503,18333002,931420,631976463,1856985673,3856264472,3147573944,96335425,612355103,0,3856264472,0,0,0,0,0,0,3856264472
"Payroll",3438079,925373,1112996,141264,46383860,482535828,1812858,536350258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Surplus",1249839,1612848,3038989,302054,35521943,305173251,16087637,362986561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deprec",7904122,2166822,1973667,139479,29237573,185881184,4830335,232133182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTAXetc",110188,21479,141412,1645,1340452,11502252,536660,13654088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VA",12702228,4726522,6267064,584442,112483828,985092515,23267490,1145124089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tinput",41534487,30161792,102631966,6912343,497335424,2403056375,62770501,3144402888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
