"","ELEC","GAS","HEAT","ROIL","CoalPro","Coal","Oil","LNG","Mining","IS","Cement","Orgchem","WoodPaper","FiberLeather","Mineral","nonISmetal","Machine","Electro_e","Electro_ne","Electro_sig","semicon","Auto","Ship","Food","MissManu","Const","Rail","Road","Air","Marine","MissTrans","Housing","Commercial","Public","Agri","Waste","FF","Dint","HE","GE","HI","GI","ST","Gold","EX","Dfin","Dtotal","Qtotal","Qself","Imp","Resout","Stotal_b","PTAXd","PTAXim","Psub","Cmargin","Tmargin","Contotal","Stotal_p"
"ELEC",556757,22833,41641,815588,57237,15664,0,0,75417,3155746,291673,1513406,780137,951949,306673,807306,574968,313810,475182,908911,426328,570040,218318,414751,2058202,336959,291819,58358,9635,18667,957917,45153,13153161,2756537,192320,371886,27818,33572767,7975420,0,0,0,0,0,83761,8059181,41631948,41534487,0,97461,0,41631948,0,0,0,0,0,0,41631948
"GAS",8575153,12708,479415,21542,596,189,0,0,2183,637072,9467,221460,39906,185559,321328,354936,243342,252078,182278,489779,124272,216517,50680,113602,861379,170587,3107,583778,4056,2614,46399,15081,4508598,498282,9781,69107,3822,19310653,6843083,0,0,0,0,0,15649,6858732,26169385,26120278,0,49107,0,26169385,0,0,0,0,0,0,26169385
"HEAT",0,0,700018,448487,0,0,0,0,0,0,0,967269,107188,122518,0,0,3389,0,2044,1101,26741,0,0,10451,230606,6761,0,259,137,50,6545,0,117862,66363,0,0,0,2817789,1027766,0,0,0,0,0,2385,1030151,3847940,3839507,0,8433,0,3847940,0,0,0,0,0,0,3847940
"ROIL",2300089,284577,395385,4315617,66204,1784,238,1346,154537,820437,453193,29393459,433883,390951,1479244,254721,674391,384327,311648,130403,78847,634400,197525,413412,3899917,2624780,151053,7269884,4687274,6913771,1109079,0,10321109,1831786,724961,335158,827557,84266947,10533374,0,0,0,2020825,0,40993880,53548079,137815026,99347613,3248832,34799845,418736,137815026,0,0,0,0,0,0,137815026
"CoalPro",0,0,0,0,3503,0,0,0,0,6332665,54123,0,0,0,34423,4052,0,0,0,0,0,0,0,0,95820,10891,0,0,0,0,27989,0,100594,10848,99434,0,3917,6778259,81243,0,0,0,28910,0,22948,133101,6911360,482658,6117273,311429,0,6911360,0,0,0,0,0,0,6911360
"Coal",8892316,0,469276,0,5043331,0,0,0,0,881246,711550,0,0,0,60221,23369,0,0,0,0,0,0,0,0,63592,0,0,0,0,0,0,0,4736,0,0,0,0,16149637,0,0,0,0,-938352,0,742,-937610,15212027,312412,0,14899615,0,15212027,0,0,0,0,0,0,15212027
"Oil",0,0,0,78926455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78926455,0,0,0,0,199833,0,0,199833,79126288,35521,0,79090767,0,79126288,0,0,0,0,0,0,79126288
"LNG",0,19342457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19342457,0,0,0,0,455704,0,0,455704,19798161,202007,0,19596154,0,19798161,0,0,0,0,0,0,19798161
"Mining",529,0,796,6124,0,0,0,0,0,8630249,1001991,56510,32615,4069,972098,7894231,9460,4171,159,23124,10979,3699,45,14985,717407,1108735,0,0,0,0,0,0,12972,2506,518,0,183,20508155,10370,0,0,0,-213322,0,138554,-64398,20443757,3238084,0,17205673,0,20443757,0,0,0,0,0,0,20443757
"IS",43132,13391,3710,104190,11275,5483,446,2061,3163,96759572,670826,863667,31431,41969,23282,184164,10168359,2476554,1174820,726231,186951,5574088,9020810,3732,24156700,14670992,339,2314,9714,13088,29142,0,412011,31943,56409,19531,4425,167499915,7589,0,0,0,2528823,0,28118052,30654464,198154379,99745377,62275833,31369194,4763975,198154379,0,0,0,0,0,0,198154379
