"","ELEC-a","GASHeat-a","OIL-a","COAL-a","ENIT-a","NEINT-a","Agri-a","CO2-a","ELEC-c","GASHeat-c","OIL-c","COAL-c","ENIT-c","NEINT-c","Agri-c","CO2-c","Labor","Capital","Household","GoV","NRES","Ptaxin","Ptaxetc","Tarrif","YTAX","S-I","ROW"
"ELEC-a",0,0,0,0,0,0,0,0,41534.487,0,0,0,0,0,0,0,0,0,0,2427.7877735,0,0,0,0,0,0,0
"GASHeat-a",0,0,0,0,0,0,0,0,0,30161.792,0,0,0,0,0,0,0,0,0,116.0255537,0,0,0,0,0,0,0
"OIL-a",0,0,0,0,0,0,0,0,0,0,103050.702,0,0,0,0,0,0,0,0,49.7711088,0,0,0,0,0,0,0
"COAL-a",0,0,0,0,0,0,0,0,0,0,0,6912.343,0,0,0,0,0,0,0,1.1953421,0,0,0,0,0,0,0
"ENIT-a",0,0,0,0,0,0,0,0,0,0,0,0,503854.499,0,0,0,0,0,0,1988.6994185,0,0,0,0,0,0,0
"NEINT-a",0,0,0,0,0,0,0,0,0,0,0,0,0,2405562.408,0,0,0,0,0,769.0356774,0,0,0,0,0,0,0
"Agri-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,62770.501,0,0,0,0,30.707843,0,0,0,0,0,0,0
"CO2-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5383.222717,0,0,0,0,0,0,0,0,0,0,0
"ELEC-c",556.757,64.474,815.588,72.901,6707.129,25163.598,192.32,0,0,0,0,0,0,0,0,0,0,0,7975.42,0,0,0,0,0,0,0,83.761
"GASHeat-c",8575.153,20534.598,470.029,0.785,2809.546,9071.007,9.781,0,0,0,0,0,0,0,0,0,0,0,7870.849,0,0,0,0,0,0,455.704,18.034
"OIL-c",2300.089,681.308,83242.31,67.988,53259.488,22917.258,724.961,0,0,0,0,0,0,0,0,0,0,0,10533.374,0,0,0,0,0,0,2220.658,40993.88
"COAL-c",8892.316,469.276,0,5046.834,8106.134,313.902,99.434,0,0,0,0,0,0,0,0,0,0,0,81.243,0,0,0,0,0,0,-909.442,23.69
"ENIT-c",624.116,61.631,2780.272,355.966,213550.209,235945.239,1384.345,0,0,0,0,0,0,0,0,0,0,0,26107.294,0,0,0,0,0,0,3083.691,127640.807
"NEINT-c",7667.134,1518.722,7616.449,811.139,93420.901,1068902.89,17597.27,0,0,0,0,0,0,0,0,0,0,0,515700.472,183108.515,0,0,0,0,0,369301.802,462651.71
"Agri-c",1.268,0.281,1.534,0.066,1439.983,28825.194,19117.867,0,0,0,0,0,0,0,0,0,0,0,23066.875,0,0,0,0,0,0,2164.09,564.581
"CO2-c",2427.7877735,116.0255537,49.7711088,1.1953421,1988.6994185,769.0356774,30.707843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Labor",3438.079,925.373,1112.996,141.264,46383.86,482535.828,1812.858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capital",9153.961,3779.67,5012.656,441.533,64759.516,491054.435,20917.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536350.258,595119.743,0,39046,1075.434,0,0,0,0,0,0
"GoV",0,0,0,0,0,0,0,5383.222717,0,0,0,0,0,0,0,0,0,0,0,0,0,140861.255,13654.088,0,83753,0,0
"NRES",-47.827,-5.84,369.524,-1.204,5188.602,-1573.919,-0.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ptaxin",263.253,2110.82,1487.932,-26.574,6888.679,30904.724,377.904,0,0,0,0,0,0,0,0,0,0,0,46452.566,0,0,0,0,0,0,31724.564,20677.387
"Ptaxetc",110.188,21.479,141.412,1.645,1340.452,11502.252,536.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tarrif",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YTAX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83753,0,0,0,0,0,0,0,0
"S-I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450050.342,16113.828,2853.031,0,0,0,0,0,-60976.134
"ROW",0,0,0,0,0,0,0,0,97.461,19653.694,113890.612,15211.044,107679.071,322734.596,12411.238,0,0,0,0,0,0,0,0,0,0,0,0
