"","Transform-a","Ind-a","Transport-a","Housing-a","Commercial-a","Public-a","Agri-a","Waste-a","CO2-a","Transform-c","Ind-c","Transport-c","Housing-c","Commercial-c","Public-c","Agri-c","Waste-c","CO2-c","Labor","Capital","Household","GoV","NRES","Ptaxin","Ptaxetc","Tarrif","YTAX","S-I","ROW"
"Transform-a",0,0,0,0,0,0,0,0,0,71494.272,0,0,0,0,0,0,0,0,0,0,0,2543.7950578,0,0,0,0,0,0,0
"Ind-a",0,0,0,0,0,0,0,0,0,0,1755232.487,0,0,0,0,0,0,0,0,0,0,1933.0108046,0,0,0,0,0,0,0
"Transport-a",0,0,0,0,0,0,0,0,0,0,0,129512.939,0,0,0,0,0,0,0,0,0,420.1037927,0,0,0,0,0,0,0
"Housing-a",0,0,0,0,0,0,0,0,0,0,0,0,81096.033,0,0,0,0,0,0,0,0,0.3763031,0,0,0,0,0,0,0
"Commercial-a",0,0,0,0,0,0,0,0,0,0,0,0,0,877628.877,0,0,0,0,0,0,0,390.1227716,0,0,0,0,0,0,0
"Public-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,159592.373,0,0,0,0,0,0,53.9355265,0,0,0,0,0,0,0
"Agri-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62770.501,0,0,0,0,0,30.707843,0,0,0,0,0,0,0
"Waste-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16519.25,0,0,0,0,11.1706177,0,0,0,0,0,0,0
"CO2-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5383.222717,0,0,0,0,0,0,0,0,0,0,0
"Transform-c",10388.525,21525.212,1983.341,60.234,17779.621,3321.182,202.101,440.993,0,0,0,0,0,0,0,0,0,0,0,0,15846.269,0,0,0,0,0,0,0,101.795
"Ind-c",37069.457,1077047.405,32809.519,3683.049,109168.182,14175.668,13668.355,3839.477,0,0,0,0,0,0,0,0,0,0,0,0,120488.401,0,0,0,0,0,0,292070.884,545318.782
"Transport-c",235.28,34836.63,24089.149,0.108,22599.953,1576.732,715.963,826.277,0,0,0,0,0,0,0,0,0,0,0,0,22340.774,0,0,0,0,0,0,394.104,44697.542
"Housing-c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81588.038,0,0,0,0,0,0,0,380.637
"Commercial-c",3912.045,173160.572,20307.561,10168.523,225304.968,21386.51,5347.996,3069.922,0,0,0,0,0,0,0,0,0,0,0,0,314639.208,43261.534,0,0,0,0,0,75657.977,40600.951
"Public-c",70.041,892.811,630.139,14.955,2959.614,685.276,42.361,90.247,0,0,0,0,0,0,0,0,0,0,0,0,10879.738,139163.834,0,0,0,0,0,6029.448,273.067
"Agri-c",1.549,15832.001,12.738,0,14322.854,96.73,19117.867,2.454,0,0,0,0,0,0,0,0,0,0,0,0,23066.875,0,0,0,0,0,0,2164.09,564.581
"Waste-c",204.269,8520.531,240.364,0,2761.778,553.388,31.335,1003.628,0,0,0,0,0,0,0,0,0,0,0,0,2486.224,683.147,0,0,0,0,0,0,39.108
"CO2-c",2543.7950578,1933.0108046,420.1037927,0.3763031,390.1227716,53.9355265,30.707843,11.1706177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Labor",4356.72,186360.343,22940.155,0,237529.835,80684.516,1812.858,2665.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capital",12806.055,217447.25,20498.819,62432.755,223291.694,33943.1,20917.972,3782.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536350.258,595119.743,0,39046,1075.434,0,0,0,0,0,0
"GoV",0,0,0,0,0,0,0,0,5383.222717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140861.255,13654.088,0,83753,0,0
"NRES",-53.667,4706.82,-73.548,-2.419,-506.972,-78.188,-0.871,-62.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ptaxin",2373.261,11539.798,5598.561,415.802,17680.039,3221.778,377.904,799.595,0,0,0,0,0,0,0,0,0,0,0,0,46452.566,0,0,0,0,0,0,31724.564,20677.387
"Ptaxetc",130.737,3363.114,476.141,4323.026,4737.311,25.681,536.66,61.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tarrif",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YTAX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83753,0,0,0,0,0,0,0,0
"S-I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450050.342,16113.828,2853.031,0,0,0,0,0,-60976.134
"ROW",0,0,0,0,0,0,0,0,0,155.001,494106.692,22799.573,872.642,59188.89,2139.158,12411.238,4.522,0,0,0,0,0,0,0,0,0,0,0,0
