basecode_row,sector_row,basecode_column,sector_row,sector_ind,sector_name,Group_ind,Group_name,Va_index,Va_name,Va_dict,FD_index,FD_name,FD_dict,BR_ind,BR_name
1,35,1,35,1,ELEC,1,Transform,38,idinput1,소계,38,Dint,중간수요계,1,ELEC
2,35,2,35,2,GAS,1,Transform,39,PTAXin,순생산물세,39,HE,민간소비지출,2,GASHeat
3,35,3,35,3,HEAT,1,Transform,40,Resin,잔폐물발생,40,GE,정부소비지출,2,GASHeat
4,35,4,35,4,ROIL,2,Ind,41,idinput2,중간투입계,41,HI,"민간고정
자본형성",3,OIL
5,35,5,35,5,CoalPro,2,Ind,42,Payroll,피용자보수,42,GI,"정부고정
자본형성",4,COAL
6,35,6,35,6,Coal,2,Ind,43,Surplus,영업잉여,43,ST,재고증감,4,COAL
7,35,7,35,7,Oil,2,Ind,44,Deprec,고정자본소모,44,Gold,"귀중품
순취득",3,OIL
8,35,8,35,8,LNG,2,Ind,45,PTAXetc,기타생산세,45,EX,수출,2,GASHeat
9,35,9,35,9,Mining,2,Ind,46,VA,부가가치계,46,Dfin,최종수요계,5,ENIT
10,35,10,35,10,IS,2,Ind,47,Tinput,총투입계,47,Dtotal,총수요계,5,ENIT
11,35,11,35,11,Cement,2,Ind,,,,48,Qtotal,총산출,5,ENIT
12,35,12,35,12,Orgchem,2,Ind,,,,49,Qself,자가공정산출,5,ENIT
13,35,13,35,13,WoodPaper,2,Ind,,,,50,Imp,수입,6,NEINT
14,35,14,35,14,FiberLeather,2,Ind,,,,51,Resout,잔폐물발생액,6,NEINT
15,35,15,35,15,Mineral,2,Ind,,,,52,Stotal_b,"총공급계
(기초가격)",5,ENIT
16,35,16,35,16,nonISmetal,2,Ind,,,,53,PTAXd,생산물세(국산),6,NEINT
17,35,17,35,17,Machine,2,Ind,,,,54,PTAXim,생산물세(수입),6,NEINT
18,35,18,35,18,Electro_e,2,Ind,,,,55,Psub,"생산물보조금
(차감)",6,NEINT
19,37,19,37,19,Electro_ne,2,Ind,,,,56,Cmargin,도소매마진,6,NEINT
